First_Name,Last_Name,Roll_Number,Branch,Degree,Batch,Email,Hash_of_Password,Residence,Birthday,SignUp_Date,Profile_Picture,Private,AutoAdd_to_Groups
Rahul,Kumar,156060045,CH,2015,156060045@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-12-09,2021-07-29 10:12:13,,false,true
Md,Singh,212770892,CSE,2021,212770892@iitb.ac.in,1234567890,"IIT Bombay, Powai",1999-02-12,2020-10-18 01:00:10,,false,true
Ajay,Khan,190647044,HS,2019,190647044@iitb.ac.in,1234567890,"IIT Bombay, Powai",1998-05-16,2019-05-21 11:56:23,,false,true
Sanjay,Sharma,214220272,HS,2021,214220272@iitb.ac.in,1234567890,"IIT Bombay, Powai",1995-07-21,2020-07-21 00:59:03,,false,true
Sunil,Yadav,208224140,EN,2020,208224140@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-03-06,2021-07-23 13:57:01,,false,true
Raj,Patel,177219353,CH,2017,177219353@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-06-11,2020-05-07 08:25:27,,false,true
Rajesh,Das,173141192,CH,2017,173141192@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-10-31,2021-04-04 09:40:11,,false,true
Deepak,Raj,183328012,CH,2018,183328012@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-10-02,2020-11-18 12:08:47,,false,true
Ravi,Gupta,151725267,EN,2015,151725267@iitb.ac.in,1234567890,"IIT Bombay, Powai",2005-07-16,2019-05-29 16:14:56,,false,true
Raju,Ali,183258780,AE,2018,183258780@iitb.ac.in,1234567890,"IIT Bombay, Powai",2000-05-22,2019-11-22 17:47:39,,false,true
Amit,Ansari,155878884,CH,2015,155878884@iitb.ac.in,1234567890,"IIT Bombay, Powai",1997-03-11,2019-01-14 21:29:28,,false,true
Vijay,Thakur,192466906,EE,2019,192466906@iitb.ac.in,1234567890,"IIT Bombay, Powai",2002-05-27,2019-08-16 23:03:33,,false,true
Sonu,Roy,164415778,HS,2016,164415778@iitb.ac.in,1234567890,"IIT Bombay, Powai",1996-08-14,2021-01-13 00:25:14,,false,true
Anil,Rajput,177928683,CSE,2017,177928683@iitb.ac.in,1234567890,"IIT Bombay, Powai",1995-04-09,2021-02-12 16:29:03,,false,true
Manoj,Kumari,179969314,AE,2017,179969314@iitb.ac.in,1234567890,"IIT Bombay, Powai",2004-05-23,2020-09-15 18:35:39,,false,true
